study,group,participant,item,response,word,onset,exact,acceptable,response_regex,match1,spelling,suggestion,suggestion_regex,match2,accuracy
210510_do,english,doen03,algae_18,species,species,spe,cies,species,\bspecies\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,algae_19,types,types,ty,pes,types,\btypes\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,algae_20,most,most,mo,st,most,\bmost\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,algae_21,bodies,bodies,bod,ies,bodies,\bbodies\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,algae_22,water,water,wa,ter,water,\bwater\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,algae_23,oceans,oceans,oce,ans,oceans,\boceans\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,algae_24,lakes,lakes,la,kes,lakes,\blakes\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,algae_25,ponds,ponds,po,nds,ponds,\bponds\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,noise_26,generated,generated,gene,rated,generated,\bgenerated\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,noise_27,industrial,industrial,indus,trial,industrial,\bindustrial\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,noise_28,workplaces,workplaces,workp,laces,workplaces,\bworkplaces\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,noise_29,comes,comes,co,mes,comes,\bcomes\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,noise_30,highway,highway,hig,hway,highway,\bhighway\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,noise_31,airport,airplane,airp,lane,airplane,\bairport\b,FALSE,TRUE,NA,NA,NA,FALSE
210510_do,english,doen03,noise_32,construction,construction,constr,uction,construction,\bconstruction\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,noise_33,more,more,mo,re,more,\bmore\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,noise_34,mere,mere,me,re,mere,\bmere\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,noise_35,certain,certain,cer,tain,certain,\bcertain\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,noise_36,duration,durations,dura,tions,durations,\bduration\b,FALSE,TRUE,NA,NA,NA,FALSE
210510_do,english,doen03,noise_37,physical,physical,phys,ical,physical,\bphysical\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,noise_38,eardrum,eardrum,ear,drum,eardrum,\beardrum\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,noise_39,sensitive,sensitive,sens,itive,sensitive,\bsensitive\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,noise_40,inner,inner,in,ner,inner,\binner\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,noise_41,result,result,res,ult,result,\bresult\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,noise_42,temporary,temporary,temp,orary,temporary,\btemporary\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,noise_43,permanent,permanent,perm,anent,permanent,\bpermanent\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,noise_44,addition,addition,addi,tion,addition,\baddition\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,noise_45,raise,raise,ra,ise,raise,\braise\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,noise_46,pressure,pressure,pres,sure,pressure,\bpressure\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,noise_47,anxiety,anxiety,anx,iety,anxiety,\banxiety\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,noise_48,mental,mental,men,tal,mental,\bmental\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen03,noise_49,intefere,interfere,inte,rfere,interfere,\bintefere\b,FALSE,FALSE,"c(""interfere"", ""interferon"", ""interest"", ""interred"", ""interpret"")",\binterfere\b|\binterferon\b|\binterest\b|\binterred\b|\binterpret\b,TRUE,TRUE
210510_do,english,doen03,noise_50,sleep,sleep,sl,eep,sleep,\bsleep\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,algae_01,very,very,ve,ry,very,\bvery\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,algae_02,because,because,bec,ause,because,\bbecause\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,algae_03,make,make,ma,ke,make,\bmake\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,algae_04,which,which,wh,ich,which,\bwhich\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,algae_05,need,need,ne,ed,need,\bneed\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,algae_06,breathe,breathe,bre,athe,breathe,\bbreathe\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,algae_07,seaweed,seaweed,sea,weed,seaweed,\bseaweed\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,algae_08,like,like,li,ke,like,\blike\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,algae_09,however,however,how,ever,however,\bhowever\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,algae_10,actually,actually,actu,ally,actually,\bactually\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,algae_11,nor,nor,n,or,nor,\bnor\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,algae_12,instead,instead,ins,tead,instead,\binstead\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,algae_13,belong,belong,bel,ong,belong,\bbelong\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,algae_14,group,group,gr,oup,group,\bgroup\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,algae_15,called,called,cal,led,called,\bcalled\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,algae_16,there,there,th,ere,there,\bthere\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,algae_17,many,many,ma,ny,many,\bmany\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,algae_18,species,species,spe,cies,species,\bspecies\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,algae_19,types,types,ty,pes,types,\btypes\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,algae_20,most,most,mo,st,most,\bmost\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,algae_21,bodies,bodies,bod,ies,bodies,\bbodies\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,algae_22,water,water,wa,ter,water,\bwater\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,algae_23,oceans,oceans,oce,ans,oceans,\boceans\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,algae_24,lakes,lakes,la,kes,lakes,\blakes\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,algae_25,ponds,ponds,po,nds,ponds,\bponds\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,noise_26,generated,generated,gene,rated,generated,\bgenerated\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,noise_27,industrial,industrial,indus,trial,industrial,\bindustrial\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,noise_28,workplaces,workplaces,workp,laces,workplaces,\bworkplaces\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,noise_29,comes,comes,co,mes,comes,\bcomes\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,noise_30,highways,highway,hig,hway,highway,\bhighways\b,FALSE,TRUE,NA,NA,NA,FALSE
210510_do,english,doen04,noise_31,airport,airplane,airp,lane,airplane,\bairport\b,FALSE,TRUE,NA,NA,NA,FALSE
210510_do,english,doen04,noise_32,construction,construction,constr,uction,construction,\bconstruction\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,noise_33,more,more,mo,re,more,\bmore\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,noise_34,mere,mere,me,re,mere,\bmere\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,noise_35,certain,certain,cer,tain,certain,\bcertain\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,noise_36,durances,durations,dura,tions,durations,\bdurances\b,FALSE,FALSE,"c(""durance"", ""durance's"", ""durance s"", ""assurances"", ""insurances"", ""dunces"")",\bdurance\b|\bdurance's\b|\bdurance s\b|\bassurances\b|\binsurances\b|\bdunces\b,FALSE,FALSE
210510_do,english,doen04,noise_37,physical,physical,phys,ical,physical,\bphysical\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,noise_38,eardrums,eardrum,ear,drum,eardrum,\beardrums\b,FALSE,TRUE,NA,NA,NA,FALSE
210510_do,english,doen04,noise_39,sensitive,sensitive,sens,itive,sensitive,\bsensitive\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,noise_40,inside,inner,in,ner,inner,\binside\b,FALSE,TRUE,NA,NA,NA,FALSE
210510_do,english,doen04,noise_41,result,result,res,ult,result,\bresult\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,noise_42,temporary,temporary,temp,orary,temporary,\btemporary\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,noise_43,permanent,permanent,perm,anent,permanent,\bpermanent\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,noise_44,addition,addition,addi,tion,addition,\baddition\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,noise_45,raise,raise,ra,ise,raise,\braise\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,noise_46,pressure,pressure,pres,sure,pressure,\bpressure\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,noise_47,anxiety,anxiety,anx,iety,anxiety,\banxiety\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,noise_48,mental,mental,men,tal,mental,\bmental\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,noise_49,interfere,interfere,inte,rfere,interfere,\binterfere\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen04,noise_50,sleep,sleep,sl,eep,sleep,\bsleep\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen05,algae_01,very,very,ve,ry,very,\bvery\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen05,algae_02,because,because,bec,ause,because,\bbecause\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen05,algae_03,make,make,ma,ke,make,\bmake\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen05,algae_04,which,which,wh,ich,which,\bwhich\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen05,algae_05,need,need,ne,ed,need,\bneed\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen05,algae_06,breathe,breathe,bre,athe,breathe,\bbreathe\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen05,algae_07,seaweed,seaweed,sea,weed,seaweed,\bseaweed\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen05,algae_08,like,like,li,ke,like,\blike\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen05,algae_09,however,however,how,ever,however,\bhowever\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen05,algae_10,actually,actually,actu,ally,actually,\bactually\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen05,algae_11,nor,nor,n,or,nor,\bnor\b,TRUE,NA,NA,NA,NA,TRUE
210510_do,english,doen05,algae_12,instead,instead,ins,tead,instead,\binstead\b,TRUE,NA,NA,NA,NA,TRUE
